germanName,scientificName,region,scoreWindow,v4BasePoints,acousticBonus,v4Points,acousticClass,acousticReason
Alpenstrandläufer,Calidris alpina,DK,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Amsel,Turdus merula,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Austernfischer,Haematopus ostralegus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Bachstelze,Motacilla alba,DK,may_aug,1,1,2,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Baumpieper,Anthus trivialis,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Bekassine,Gallinago gallinago,NO,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Bergfink,Fringilla montifringilla,NO,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Bergfink,Fringilla montifringilla,SE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Birkenzeisig,Acanthis flammea,DK,may_aug,5,0,5,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Blauelster,Cyanopica cyanus,JP-TOKYO,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
